PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;73798;73798;473485;1097405-73798;420578;909652-1097405;50116873;1384778-909652
;;73798;73798;473484;1097399-73798;24530;1348628-1097399;50145926;1329900-1348628
;;72486;1106546;463865;1034652-1106546;39046;720986-1034652;50062814;1166134-720986
;;72486;1106546;463865;1034652-1106546;483872;1384853-1034652;50116853;1384852-1384853
;;72486;1106546;463865;1034652-1106546;27648;1236912-1034652;50126198;1265526-1236912
;;72486;1106546;463865;1034652-1106546;460860;956646-1034652;50126118;1374629-956646
;;72486;1106546;42345;1034694-1106546;22015;1322630-1034694;50026646;1257803-1322630
;;72486;1106546;462329;1016833-1106546;22625;1348098-1016833;50143545;1330422-1348098
;;61858;1098231;473505;1098221-1098231;9769;1098216-1098221;50118705;1384571-1098216
;;69072;1119770;47482;1119771-1119770;471715;1077333-1119771;50117533;1110674-1077333
;;69072;1119770;47482;1119771-1119770;41063;1115710-1119771;50024496;412355-1115710
;;61961;841088;473514;1098757-841088;471340;1075840-1098757;50118007;1200672-1075840
;;61961;841088;47171;841087-841088;41042;1098733-841087;50024475;412239-1098733
474259;1113514;480614;1237099;45187;1237098-1237099;28632;1201064-1237098;50114757;1260925-1201064
474259;1113514;480614;1237099;45187;1237098-1237099;483836;1384695-1237098;50116896;1384694-1384695
474259;1113514;480614;1237099;45187;1237098-1237099;483839;1384707-1237098;50116893;1384706-1384707
;;71609;1119780;46552;1119779-1119780;472537;1080673-1119779;50118738;1111186-1080673
;;71609;1119780;473124;1087835-1119780;22591;930787-1087835;50122650;1268979-930787
;;71609;1119780;473124;1087835-1119780;411234;1087225-1087835;50118580;1073544-1087225
;;69435;1091532;47491;1091502-1091532;471639;1077017-1091502;50117690;1110622-1077017
;;71935;1097476;426219;894522-1097476;416512;666571-894522;50098531;1275335-666571
;;71935;1097476;426219;894522-1097476;425017;1243940-894522;50146514;1329720-1243940
;;71935;1097476;473466;1097449-1097476;21171;21171-1097449;50144856;1266337-21171
;;71935;1097476;473466;1097449-1097476;421757;838992-1097449;50143267;1266472-838992
;;71935;1097476;473466;1097449-1097476;26899;1032445-1097449;50118336;1074204-1032445
;;71935;1097476;473466;1097449-1097476;26899;1032445-1097449;50025039;1032249-1032445
;;68407;1119561;473243;1090801-1119561;21137;1228089-1090801;50018807;1224486-1228089
;;68407;1119561;473243;1090801-1119561;39981;39981-1090801;50024190;1196568-39981
;;68407;1119561;473243;1090801-1119561;39978;875914-1090801;50024187;1190169-875914
;;68407;1119561;473243;1090801-1119561;39978;875914-1090801;50163761;1245432-875914
;;68407;1119561;473243;1090801-1119561;39979;875921-1090801;50024188;1177807-875921
;;68407;1119561;473243;1090801-1119561;427623;907045-1090801;50110720;1151280-907045
;;68419;1119869;473855;1236755-1119869;480188;1232826-1236755;50147663;1261275-1232826
;;68419;1119869;473855;1236755-1119869;480186;1352286-1236755;50173277;1350915-1352286
;;68419;1119869;473855;1236755-1119869;472912;1352291-1236755;50116349;1082217-1352291
;;68419;1119869;473855;1236755-1119869;472912;1352291-1236755;50025128;1032134-1352291
